ticker,company_name,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,quality_grade,value_score,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom,atr,stop_loss,ma_50,industry,is_filled
MU,"Micron Technology, Inc.",NASDAQ_100,32.6,0.3,117.8,,419.44,378.28,292.61,179.77,71.3,15707.5,Semiconductor,43.54298,42.35653,38.47903,19.98722,18.79317,True,True,False,False,"Quality Growth (Rev+57%, Op+182%)",56.7,182.2,-7.9,🚀돌파매수 (슈퍼모멘텀),9.6,22.6,0.08,20.74,7.9,455.5,1.1,22.81,85.0,A+급,68,적정가,84.15,False,,False,25.75,367.95,303.24,Semiconductors,0
WDC,Western Digital Corporation,NASDAQ_100,16.0,0.2,35.0,,290.24,234.95,190.12,112.59,75.4,3182.2,Technology,12.67061,10.8312,9.66603,9.38648,9.03381,True,True,False,False,"Quality Growth (Rev+25%, Op+75%)",25.2,75.1,-2.1,🚀강력매수 (돌파),22.9,41.1,0.65,9.51,2.1,296.5,1.1,10.46,86.0,A+급,55,적정가,77.55,True,,False,20.49,249.27,195.74,Computer Hardware,0
CMC,Commercial Metals Company,SP400_MidCap,16.6,0.2,38.2,,81.87,75.7,68.71,57.55,70.4,115.9,Basic Materials,7.17029,6.92779,5.7325,5.18942,5.03902,True,True,False,False,"Quality Growth (Rev+11%, Op+63%)",11.0,62.7,-0.1,관망 (RSI🚀고점),11.4,10.5,0.3,10.09,0.1,81.94,1.1,11.1,66.63,B+급,60,적정가,69.65,False,,False,2.46,76.96,70.7,Steel,0
AVGO,Broadcom Inc.,NASDAQ_100,11.7,0.0,13.3,,320.33,335.87,352.5,306.0,29.9,8284.3,Semiconductor,14.35632,14.22036,14.00101,12.67358,12.16856,True,True,False,False,"Quality Growth (Rev+28%, Op+55%)",28.2,54.8,-22.6,저점매수 (과매도),22.3,31.1,1.68,13.5,22.6,413.82,1.0,13.5,66.66,B+급,72,저평가,69.33,False,,False,14.06,292.21,353.32,Semiconductors,0
STX,Seagate Technology Holdings PLC,NASDAQ_100,15.2,0.2,30.8,,444.45,354.67,302.06,202.94,79.0,2302.2,Technology,19.18285,16.28588,15.15455,14.66536,14.50536,True,True,False,False,"Quality Growth (Rev+22%, Op+73%)",21.5,73.0,-3.3,🚀강력매수 (돌파),23.2,,0.75,9.42,3.3,459.41,1.1,10.36,65.16,B+급,55,적정가,66.09,True,,False,28.53,387.38,308.25,Computer Hardware,0
KLAC,KLA Corporation,NASDAQ_100,10.7,0.1,8.7,,1355.54,1479.04,1295.79,1027.11,44.5,1811.7,Semiconductor,45.55056,44.0851,42.11531,41.91799,41.56644,True,True,False,False,"Quality Growth (Rev+7%, Op+10%)",7.2,9.7,-19.9,적극매수 (눌림목),29.8,100.7,3.43,12.02,20.0,1693.35,1.0,12.02,70.73,A급,47,고평가,58.86,True,,False,85.83,1183.88,1320.67,Semiconductor Equipment & Materials,0
INCY,Incyte Corporation,SP500,9.4,0.0,1.9,,100.92,104.17,102.4,83.78,44.4,202.2,Healthcare,7.95998,7.94893,7.92419,7.81093,7.62519,True,True,False,False,"Quality Growth (Rev+20%, Op+154%)",20.0,154.5,-10.1,적극매수 (눌림목),12.7,30.4,6.64,9.31,10.1,112.29,1.0,9.31,54.38,B급,55,적정가,54.69,False,,False,3.48,93.97,101.83,Biotechnology,0
LRCX,Lam Research Corporation,NASDAQ_100,13.3,0.2,21.6,,230.1,222.65,182.24,128.12,58.4,3270.4,Semiconductor,6.8004,5.95654,5.63674,5.59056,5.53432,True,True,False,False,"Quality Growth (Rev+22%, Op+36%)",22.1,35.7,-8.6,매수적기 (추세),33.8,65.6,1.56,9.85,8.6,251.87,0.9,8.86,73.33,A급,45,고평가,53.25,False,,False,12.96,204.19,187.74,Semiconductor Equipment & Materials,0
GMED,"Globus Medical, Inc.",SP400_MidCap,9.7,0.0,3.3,,87.45,92.19,88.48,68.53,41.2,134.3,Healthcare,4.24454,4.19575,4.11708,4.10933,3.64417,True,True,False,False,"Quality Growth (Rev+23%, Op+172%)",22.9,171.8,-13.8,적극매수 (눌림목),20.6,10.0,6.26,9.93,13.8,101.4,1.0,9.93,44.66,C급,50,고평가,47.33,False,,False,2.41,82.63,89.76,Medical Devices,0
CVNA,Carvana Co.,SP500,9.2,0.0,1.1,,410.36,447.5,409.14,355.36,35.2,1565.0,Consumer Cyclical,7.06553,7.06108,7.00026,6.9886,6.78429,True,True,False,False,"Quality Growth (Rev+55%, Op+64%)",54.5,63.8,-15.7,적극매수 (눌림목),58.1,68.2,52.8,9.67,15.7,486.89,1.0,9.67,54.22,B급,40,고평가,47.11,False,,False,28.64,353.09,427.4,Auto & Truck Dealerships,0
